date,geo,hashtags,id,text,type,username,state,tweet,road_closure
2019-08-02 13:12:24,,[],1157277973734678528,updated  crash in duval on sr-202   butler blvd west at i-295 e right lane blocked  last updated at 09 12 02am   ,official,fl511_northeast,Florida,Updated  Crash in Duval on SR-202   Butler Blvd west at I-295 E right lane blocked  Last updated at 09 12 02AM   ,1
2019-08-02 13:06:27,,"[{'text': 'ANJTraffic', 'indices': [38, 49]}]",1157276473583120384,good news   project wrapped early     #anjtraffic  actionnewsjax  wokvnews  ,official,ActionTraffic,Florida,Good News   Project wrapped early     #ANJTraffic  ActionNewsJax  WOKVNews  ,0
2019-08-02 13:04:02,,[],1157275867476836357,roosevelt boulevard and san juan avenue railroad crossing reconstruction is complete and the intersection has reopened ,official,JSOPIO,Florida,Roosevelt Boulevard and San Juan Avenue railroad crossing reconstruction is complete and the intersection has reopened ,0
2019-08-02 12:46:32,,[],1157271464728518657,"year to date in 2019 
101 traffic fatalities in duval county 

🚗vs🚶🏻‍♂️= 27  27  
🚗vs🚙= 26  26  
🚙= 26  26  
🚗vs🏍=…  ",official,JSOPIO,Florida,"Year to Date in 2019 
101 Traffic Fatalities in Duval County 

🚗vs🚶🏻‍♂️= 27  27  
🚗vs🚙= 26  26  
🚙= 26  26  
🚗vs🏍=…  ",0
2019-08-02 11:48:59,,[],1157256980781813760,jacksonville   there will be lane closure on new kings rd northbound from dunn ave to woodley rd due to    ,official,fl511_northeast,Florida,Jacksonville   There will be lane closure on New Kings Rd northbound from Dunn Ave to Woodley Rd due to    ,1
2019-08-02 11:37:23,,"[{'text': 'ANJTraffic', 'indices': [100, 111]}]",1157254061160304647,gas prices on the decline  maybe time for that weekend trip    check it out   #anjtraffic…  ,official,ActionTraffic,Florida,Gas Prices on the decline  Maybe time for that weekend trip    check it out   #ANJTraffic…  ,0
2019-08-02 11:33:09,,[],1157252993621868545,rt  fl511 state  it’s almost time to head back-to-school  use fl511 to guide you to a store during florida’s back-to-school sales tax holid…,official,fl511_northeast,Florida,RT  fl511 state  It’s almost time to head back-to-school  Use FL511 to guide you to a store during Florida’s back-to-school sales tax holid…,0
2019-08-02 11:12:34,,[],1157247817469050882,new  disabled vehicle in duval on i-295 e south at dames point right lane blocked  last updated at 07 10 14am     ,official,fl511_northeast,Florida,New  Disabled vehicle in Duval on I-295 E south at Dames Point right lane blocked  Last updated at 07 10 14AM     ,1
2019-08-02 11:09:19,,[],1157246997734277120,cleared  planned construction in clay on sr-21   blanding blvd south at cr-220 left lane blocked  last updated at 06 44 35am ,official,fl511_northeast,Florida,Cleared  Planned construction in Clay on SR-21   Blanding Blvd south at CR-220 left lane blocked  Last updated at 06 44 35AM ,0
2019-08-02 10:45:18,,[],1157240954912477187,new  planned construction in clay on sr-21   blanding blvd south at cr-220 left lane blocked  last updated at    ,official,fl511_northeast,Florida,New  Planned construction in Clay on SR-21   Blanding Blvd south at CR-220 left lane blocked  Last updated at    ,1
2019-08-02 10:34:38,,"[{'text': 'ANJTraffic', 'indices': [62, 73]}]",1157238267282173954,635a- big 3 travel times     no problems on the early commute #anjtraffic  actionnewsjax  wokvnews  ,official,ActionTraffic,Florida,635a- BIG 3 travel times     no problems on the early commute #ANJTraffic  ActionNewsJax  WOKVNews  ,1
2019-08-02 10:23:41,,[],1157235514740813824,a florida silver alert has been activated for john fazzino out of st  lucie county  look for a 2000 white    ,official,fl511_northeast,Florida,A Florida Silver Alert has been activated for John Fazzino out of St  Lucie County  Look for a 2000 White    ,0
2019-08-02 10:17:13,,[],1157233885262045184,time to prepare for school buses to be on the road  check out the rules depending on what type of roadway you are o…  ,official,ActionTraffic,Florida,Time to prepare for school buses to be on the road  Check out the rules depending on what type of roadway you are o…  ,0
2019-08-02 09:24:13,,[],1157220547576639489,cleared  planned construction in duval on i-10 east at exit 343 us-301 left lane blocked  last updated at 08 35 30pm ,official,fl511_northeast,Florida,Cleared  Planned construction in Duval on I-10 east at Exit 343 US-301 left lane blocked  Last updated at 08 35 30PM ,0
2019-08-02 08:42:12,,[],1157209975091056640,cleared  planned construction in duval on i-295 w south ramp from exit 33 duval rd off-ramp closed  last updated at 10 33 12pm ,official,fl511_northeast,Florida,Cleared  Planned construction in Duval on I-295 W south ramp from Exit 33 Duval Rd off-ramp closed  Last updated at 10 33 12PM ,0
2019-08-02 06:58:12,,[],1157183800495038464,cleared  planned construction in duval on i-295 w south beyond i-95 left lane blocked  last updated at 10 36 33pm ,official,fl511_northeast,Florida,Cleared  Planned construction in Duval on I-295 W south beyond I-95 left lane blocked  Last updated at 10 36 33PM ,0
2019-08-02 06:57:13,,[],1157183555937718272,cleared  planned construction in duval on i-295 w north beyond duval rd left lane blocked  last updated at 12 56 13am ,official,fl511_northeast,Florida,Cleared  Planned construction in Duval on I-295 W north beyond Duval Rd left lane blocked  Last updated at 12 56 13AM ,0
2019-08-02 06:57:13,,[],1157183555472109569,cleared  planned construction in duval on sr-202   butler blvd east ramp from gate pkwy on-ramp closed  last updated at 10 20 30pm ,official,fl511_northeast,Florida,Cleared  Planned construction in Duval on SR-202   Butler Blvd east ramp from Gate Pkwy on-ramp closed  Last updated at 10 20 30PM ,0
2019-08-02 05:56:13,,[],1157168204365647872,cleared  planned construction in duval on sr-202   butler blvd west beyond i-295 e 2 right lanes blocked  last updated at 10 19 33pm ,official,fl511_northeast,Florida,Cleared  Planned construction in Duval on SR-202   Butler Blvd west beyond I-295 E 2 right lanes blocked  Last updated at 10 19 33PM ,0
